,ID,REF,CANTIDAD,CATEGORIA,SUBCATEGORIA,DETALLE_1,DETALLE_2
0,XA0669,XA0669:00189:,2,COMEDORES,BIBLIOTECAS,189.0,
1,BR0031,BR0031:00198:,32,COMEDORES,BIFFET,198.0,
2,XA0543,XA0543:00183:,5,COMEDORES,BIFFET,183.0,
3,XA0698,XA0698:00183:,2,COMEDORES,BIFFET,183.0,
4,XC0041,XC0041:00001:,60,COMEDORES,BIFFET,1.0,
5,XC0064,XC0064::,23,COMEDORES,BIFFET,,
6,XC0078,XC0078::,14,COMEDORES,BIFFET,,
7,XZ0483,XZ0483:00005:,2,COMEDORES,BIFFET,5.0,
8,XZ0484,XZ0484:00001:,11,COMEDORES,BIFFET,1.0,
9,BR0032,BR0032:00198:,30,COMEDORES,CONSOLAS,198.0,
10,BR0037,BR0037::,12,COMEDORES,CONSOLAS,,
11,BR0049,BR0049::,14,COMEDORES,CONSOLAS,,
12,BR0050,BR0050::,22,COMEDORES,CONSOLAS,,
13,XA0090,XA0090:00149:,2,COMEDORES,CONSOLAS,149.0,
14,XA0413,XA0413:00026:,24,COMEDORES,CONSOLAS,26.0,
15,XA0537,XA0537:00065:,7,COMEDORES,CONSOLAS,65.0,
16,XA0718,XA0718:00029:,13,COMEDORES,CONSOLAS,29.0,
17,XY0786,XY0786:00001:,37,COMEDORES,CONSOLAS,1.0,
18,XZ0103,XZ0103:00002:,4,COMEDORES,CONSOLAS,2.0,
19,XZ0106,XZ0106:00005:,4,COMEDORES,CONSOLAS,5.0,
20,XZ0722,XZ0722:00005:,28,COMEDORES,CONSOLAS,5.0,
21,XZ0846,XZ0846:00026:,2,COMEDORES,CONSOLAS,26.0,
22,XZ0902,XZ0902:00005:,3,COMEDORES,CONSOLAS,5.0,
23,XZ0903,XZ0903:00005:,18,COMEDORES,CONSOLAS,5.0,
24,XZ0927,XZ0927:00136:,5,COMEDORES,CONSOLAS,136.0,
25,XZ0928,XZ0928:00137:,3,COMEDORES,CONSOLAS,137.0,
26,XZ0929,XZ0929:00138:,2,COMEDORES,CONSOLAS,138.0,
27,XZ0930,XZ0930:00139:,4,COMEDORES,CONSOLAS,139.0,
28,XZ0953,XZ0953:00009:,2,COMEDORES,CONSOLAS,9.0,
29,XA0186,XA0186:00015:,1,COMEDORES,MESAS DE BAR,15.0,
30,XA0383,XA0383:00005:,63,COMEDORES,MESAS DE BAR,5.0,
31,XC0061,XC0061:00051:,23,COMEDORES,MESAS DE BAR,51.0,
32,XY0319,XY0319:00001:,7,COMEDORES,MESAS DE BAR,1.0,
33,XZ0139,XZ0139:00005:,34,COMEDORES,MESAS DE BAR,5.0,
34,XZ0141,XZ0141:00005:,3,COMEDORES,MESAS DE BAR,5.0,
35,XZ0386,XZ0386:00046:,3,COMEDORES,MESAS DE BAR,46.0,
36,XZ0437,XZ0437:00001:,5,COMEDORES,MESAS DE BAR,1.0,
37,XA0381,XA0381:00029:,2,COMEDORES,MESAS DE 6P,29.0,
38,XA0418,XA0418:00066:,11,COMEDORES,MESAS DE 6P,66.0,
