Item;Desc. item;Desc. ext. 1 detalle;Desc. ext. 2 detalle;Desc. tipo inventario;ORIGEN;DEPARTAMENTO;SUBCATEGORIA;ESTILO;VIGENCIA;001-DESCRIPCION UNIFICADA;001-ALTO EXHIBIDO;001-ANCHO EXHIBIDO;001-FONDO EXHIBIDO;001-MATERIAL PPAL;001-ACABADO;REF_Combinada;COLOR DEF;Puestos
11057;SILLA COMEDOR 85-1062 NG NO GARANTIA;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P001 - COMEDORES;SILL - SILLAS DE COMEDOR;MOD - MODERNO;002 - DESCONTINUADO;SILLA COMEDOR 85;77;40;47;Sintético;Superficies mates;A01040:00005:;NEGRO;1 Puesto
19389;ESTANTE PRAIA 1 GAV RT3091 BL/RUST;C.BL/RUST;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P006 - ESTUDIO;ESTA - ESTANTES;CON - CONTEMPORÁNEO;003 - NOVEDAD;ESTANTE PRAIA;180;41;63;madera laminada;Mate;BR0002:00193:;BLANCO/RUSTICO;No Aplica
19390;ESTANTE PRAIA 1 GAV RT3091 NG/RUST;C.NG/RUST;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P006 - ESTUDIO;ESTA - ESTANTES;CON - CONTEMPORÁNEO;003 - NOVEDAD;ESTANTE PRAIA;180;41;63;madera laminada;Mate;BR0003:00194:;NEGRO/RUSTICO;No Aplica
19391;ESCRITORIO RETRO L PARANA RT3077 BL/RUST;C.BL/RUST;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P006 - ESTUDIO;ESCR - ESCRITORIOS;CON - CONTEMPORÁNEO;003 - NOVEDAD;ESCRITORIO RETRO L PARANA;78;136;108;madera laminada;Mate;BR0004:00193:;BLANCO/RUSTICO;No Aplica
19392;ESCRITORIO RETRO VITORIA RT3067 BL/RUST;C.BL/RUST;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P006 - ESTUDIO;ESCR - ESCRITORIOS;CON - CONTEMPORÁNEO;003 - NOVEDAD;ESCRITORIO RETRO VITORIA;77;130;60;madera laminada;Mate;BR0005:00193:;BLANCO/RUSTICO;No Aplica
19396;ESTANTE PORTO RT3047 BL/AMA 2C;C.BL/AMA ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P006 - ESTUDIO;ESTA - ESTANTES;CON - CONTEMPORÁNEO;003 - NOVEDAD;ESTANTE PORTO;180;77;33;madera laminada;Mate;BR0007:00195:;BLANCO/AMARILLO;No Aplica
19399;ESTANTE PORTO RT3047 BL/NG 2C;C.BLA/NEG;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P006 - ESTUDIO;ESTA - ESTANTES;CON - CONTEMPORÁNEO;003 - NOVEDAD;ESTANTE PORTO;180;77;33;madera laminada;Mate;BR0008:00012:;BLANCO/NEGRO;No Aplica
19411;ESCRITORIO ESTANTE BENTO RT3120 NG/RUST;C.NG/RUST;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P006 - ESTUDIO;ESCR - ESCRITORIOS;CON - CONTEMPORÁNEO;003 - NOVEDAD;ESCRITORIO ESTANTE BENTO;70;120;50;madera laminada;Mate;BR0012:00194:;NEGRO/RUSTICO;No Aplica
19412;MESA TV RETRO 2GAV RT3069 NG/RUST;C.NG/RUST;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;MSTV - MESA TV;CON - CONTEMPORÁNEO;003 - NOVEDAD;MESA TV RETRO;42;126;41;madera laminada;Mate;BR0013:00194:;NEGRO/RUSTICO;No Aplica
19418;CAMA AUX INFANTIL C/RODIZIO BELO CA11 BL;C.BLANCO ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P002 - ALCOBAS;CAMS - CAMA SENCILLA;CON - CONTEMPORÁNEO;003 - NOVEDAD;CAMA INFANTIL RODIZIO;20;105;191;MDF;mate;BR0017:00001:;BLANCO;1 Puesto
